,DC_Power_kW,AC_Power_kW,Daily_Yield_kW,Ambient_Temperature_C,Module_Temperature_C,Irradition
2020-05-15 00:00:00,0.0,0.0,0.0,24.03957449090909,21.818529790909086,0.0
2020-05-15 00:15:00,0.0,0.0,0.0,23.944380090909092,21.72704659999999,0.0
2020-05-15 00:30:00,0.0,0.0,0.0,23.802309300000005,21.56538255454545,0.0
2020-05-15 00:45:00,0.0,0.0,0.0,23.716760836363633,21.34444976363636,0.0
2020-05-15 01:00:00,0.0,0.0,0.0,24.621525357142858,22.16542264285715,0.0
2020-05-15 01:15:00,0.0,0.0,0.0,23.42081528181818,20.96999946363636,0.0
2020-05-15 01:30:00,0.0,0.0,0.0,23.518734145454538,21.336883590909096,0.0
2020-05-15 01:45:00,0.0,0.0,0.0,24.873022333333328,23.160919200000006,0.0
2020-05-15 02:00:00,0.0,0.0,0.0,23.803433627272717,21.979471500000002,0.0
2020-05-15 02:15:00,0.0,0.0,0.0,23.875327254545457,22.282173390909083,0.0
2020-05-15 02:30:00,0.0,0.0,0.0,23.868551636363634,22.56493839090909,0.0
2020-05-15 02:45:00,0.0,0.0,0.0,23.856973190909084,22.946781900000005,0.0
2020-05-15 03:00:00,0.0,0.0,0.0,23.879204454545455,23.27576577272728,0.0
2020-05-15 03:15:00,0.0,0.0,0.0,23.84952366363636,23.244621018181817,0.0
2020-05-15 03:30:00,0.0,0.0,0.0,23.80419866363636,22.966646690909087,0.0
2020-05-15 03:45:00,0.0,0.0,0.0,23.748231372727272,22.63207621818182,0.0
2020-05-15 04:00:00,0.0,0.0,0.0,23.557133918181815,21.563126009090908,0.0
2020-05-15 04:15:00,0.0,0.0,0.0,24.3519308,21.783642533333325,0.0
2020-05-15 04:30:00,0.0,0.0,0.0,24.062622200000007,21.852524933333328,0.0
2020-05-15 04:45:00,0.0,0.0,0.0,24.01322420000001,22.306314999999998,0.0
2020-05-15 05:00:00,0.0,0.0,0.0,24.177105799999996,22.55190846666666,0.0
2020-05-15 05:15:00,0.0,0.0,0.0,23.200120363636362,21.934969704545463,0.0
2020-05-15 05:30:00,0.0,0.0,0.0,23.222876027272722,22.386363172727275,0.0
2020-05-15 05:45:00,0.0,0.0,0.0,23.185156081818175,22.046842299999994,0.0008235066394545139
